,opta_id,injury_start_date,sport,team,gsis_id,depth_chart_order,sportradar_id,active,oddsjam_id,fantasy_data_id,last_name,yahoo_id,injury_body_part,pandascore_id,team_abbr,first_name,years_exp,birth_date,search_last_name,metadata,college,status,swish_id,search_full_name,news_updated,practice_participation,birth_city,injury_notes,espn_id,rotowire_id,competitions,stats_id,team_changed_at,practice_description,depth_chart_position,injury_status,number,search_rank,player_id,birth_state,position,age,weight,full_name,search_first_name,fantasy_positions,birth_country,hashtag,rotoworld_id,high_school,height
3823,,,nfl,,,3.0,,False,,18640.0,Carlson,29942.0,,,,Sam,0.0,1993-04-30,carlson,,Colorado State,Inactive,,samcarlson,,,,,2575649.0,11396.0,[],,,,LG,,69.0,9999999.0,3823,,G,25.0,291,Sam Carlson,sam,['OL'],,#samcarlson-NFL-FA-69,,,"6'4"""
5398,,,nfl,,00-0034137,,3dc42923-568b-4e5e-8c97-cb10d8527f7a,True,,20521.0,Crawford,31338.0,,,,Justin,4.0,1995-02-19,crawford,{'channel_id': '1116853095989510144'},West Virginia,Active,,justincrawford,1535850062877.0,,,,4039226.0,12475.0,[],919433.0,,,,,0.0,9999999.0,5398,,RB,26.0,200,Justin Crawford,justin,['RB'],,#justincrawford-NFL-FA-0,,Hardaway,72
8312,,,nfl,,,,522c6e7e-60bc-4e3b-9d06-01d295f1f3c1,True,CCCA7F182A49,,Barnes,,,,,Kalon,2.0,1998-12-16,barnes,"{'channel_id': '1113708818006568960', 'rookie_year': '2022'}",Baylor,Active,1129433.0,kalonbarnes,1724115020085.0,,,,,16115.0,[],,,,,,31.0,9999999.0,8312,,DB,25.0,186,Kalon Barnes,kalon,['DB'],,#kalonbarnes-NFL-FA-31,,Silsbee (TX),72
7828,,,nfl,KC,,2.0,c97dfcb6-b999-476f-8487-f3848e92df17,True,DE86A90D0B9A,,Gray,,,,,Noah,4.0,1999-04-30,gray,"{'channel_id': '1113708752164384768', 'rookie_year': '2021'}",Duke,Active,1056981.0,noahgray,1736272210886.0,,,,,15459.0,[],,,,TE,,83.0,611.0,7828,,TE,25.0,240,Noah Gray,noah,['TE'],,#noahgray-NFL-KC-83,,Leominster (MA),75
3603,,,nfl,,00-0032486,,5d6266d9-b034-439d-9234-91c6c9696f8d,True,,18388.0,Canaday,29566.0,,,,Kameron,7.0,1993-08-20,canaday,"{'channel_id': '1116852881647992832', 'injury_override_regular_2020_5': 'Active'}",Portland State,Active,656634.0,kameroncanaday,1659750309124.0,,,,2967885.0,11287.0,[],,,,,,46.0,9999999.0,3603,,LS,29.0,245,Kameron Canaday,kameron,['LS'],,#kameroncanaday-NFL-FA-46,,Sheldon (OR),76
10861,,,nfl,NO,,6.0,108ce360-f32d-11ed-a71f-ed490fe44e0d,True,A3384A9DD19F,,Valladay,,,,,Xazavian,2.0,1998-07-03,valladay,"{'channel_id': '1113708741640876032', 'rookie_year': '2023'}",Arizona State,Active,1062845.0,xazavianvalladay,1736211007872.0,,,,,16789.0,[],,,,RB,,34.0,9999999.0,10861,,RB,26.0,198,Xazavian Valladay,xazavian,['RB'],,#xazavianvalladay-NFL-NO-34,,Brother Rice (IL),72
11667,,,nfl,MIN,,2.0,1455441c-7e0e-484e-8e8a-5c7606b59709,True,0546133127E0,,Turner,,,,,Dallas,1.0,2003-02-02,turner,"{'channel_id': '1113708707390189568', 'rookie_year': '2024'}",Alabama,Active,1325457.0,dallasturner,1737483013395.0,,,,,17710.0,[],,,,LOLB,,15.0,169.0,11667,,LB,22.0,250,Dallas Turner,dallas,"['DL', 'LB']",,#dallasturner-NFL-MIN-15,,St. Thomas Aquinas (FL),75
6098,,,nfl,, 00-0035143,,8fe853ae-184e-4c65-a00e-70d2f141504f,True,,21053.0,Burr-Kirven,31974.0,,,,Ben,4.0,1997-09-08,burrkirven,{'channel_id': '1116853202881347584'},Washington,Active,865851.0,benburrkirven,1693353603618.0,,,,3886816.0,13844.0,[],,,,,,48.0,9999999.0,6098,,LB,25.0,230,Ben Burr-Kirven,ben,['LB'],,#benburrkirven-NFL-FA-48,,Sacred Heart Prep (CA),72
11218,,,nfl,,,,839ab9b0-e9f8-11ed-9c34-3f26f2e7ed88,True,,,Bright,,,,,Cam,1.0,1999-02-23,bright,{'channel_id': '1116852665234489344'},Washington,Active,1061594.0,cambright,,,,,,16874.0,[],,,,,,49.0,9999999.0,11218,,LB,24.0,221,Cam Bright,cam,['LB'],,#cambright-NFL-FA-49,,Park Crossing (AL),72
12006,,,nfl,,,,ff7b7af0-0708-11ef-9b7a-ebfa207a8419,True,,,Jones,,,,,Sheridan,0.0,2000-10-25,jones,"{'channel_id': '1113708760469106689', 'rookie_year': '2024'}",Clemson,Active,,sheridanjones,,,,,,,[],,,,,,,9999999.0,12006,,CB,23.0,190,Sheridan Jones,sheridan,['DB'],,#sheridanjones-NFL-FA,,Maury (VA),72
5482,,,nfl,,00-0034178,,c3d1c1bd-0552-405f-9fe4-b99925e7ec15,True,,20285.0,Davis,31432.0,,,,Austin,4.0,1995-02-25,davis,{'channel_id': '1116853109637775360'},Duke,Active,,austindavis,,,,,3048669.0,13110.0,[],,,,,,60.0,9999999.0,5482,,C,26.0,290,Austin Davis,austin,['OL'],,#austindavis-NFL-FA-60,,Mansfield,76
4814,,,nfl,,,,c9e777fb-ad87-4304-b7c9-bcc0fdb3b42b,True,,19724.0,Hampton,30931.0,,,,De'Quan,5.0,1994-04-18,hampton,{'channel_id': '1116853026213068800'},USC,Active,880030.0,dequanhampton,1632865848667.0,,,,3912558.0,12102.0,[],880030.0,,,,,0.0,9999999.0,4814,,WR,27.0,225,De'Quan Hampton,dequan,['WR'],,#dequanhampton-NFL-FA-0,,Dominguez (CA),76
7397,,,nfl,,,,e4d9a5b4-4cca-48fc-aef3-4dfee12c83e5,True,,22382.0,Houston,33080.0,,,,Parker,2.0,1997-12-06,houston,{'channel_id': '1116853381713887232'},San Diego State,Active,,parkerhouston,1599693372829.0,,,,,15105.0,[],,,,,,86.0,9999999.0,7397,,TE,24.0,250,Parker Houston,parker,['TE'],,#parkerhouston-NFL-FA-86,,Edward C. Reed (NV),75
6841,,,nfl,SF,,1.0,445efcfc-1646-4823-89f7-8b6005266d13,True,739285B0C8FE,22059.0,Elliott,32758.0,,,,Jordan,5.0,1997-11-23,elliott,"{'channel_id': '1113708875288178688', 'rookie_year': '2020'}",Missouri,Active,920655.0,jordanelliott,1736386235800.0,,,,4039052.0,14353.0,[],,,,RDT,,92.0,9999999.0,6841,,DT,27.0,303,Jordan Elliott,jordan,['DL'],,#jordanelliott-NFL-SF-92,,Westside (TX),76
11557,,,nfl,NE,,3.0,74043480-24ef-4c26-99d4-18f43d5b41d3,True,0365907C1878,,Milton,,,,,Joe,1.0,2000-03-06,milton,"{'channel_id': '1113708792589086720', 'rookie_year': '2024'}",Tennessee,Active,1112338.0,joemilton,1738774242894.0,,,,,17830.0,[],,,,QB,,19.0,479.0,11557,,QB,24.0,246,Joe Milton,joe,['QB'],,#joemilton-NFL-NE-19,,Olympia (FL),77
5052,,,nfl,,00-0034816,,15965c39-17be-4338-911a-8f337f48a3ce,True,,19861.0,Jones,31008.0,,,,Ronald,5.0,1997-08-03,jones,{'channel_id': '1116853051332755456'},USC,Active,880033.0,ronaldjones,1695221737152.0,,,,3912550.0,12566.0,[],880033.0,,,,,32.0,620.0,5052,,RB,26.0,208,Ronald Jones,ronald,['RB'],,#ronaldjones-NFL-FA-32,13061.0,McKinney North (TX),71
4128,,,nfl,,00-0033933,,35c970b1-cd2c-42b8-bcb6-e0b8dbe39423,True,,18974.0,Williams,30211.0,,,,Chad,5.0,1994-10-19,williams,{'channel_id': '1116852928531922944'},Grambling State,Active,,chadwilliams,1654805457745.0,,,,3066052.0,12113.0,[],787757.0,,,,,0.0,1160.0,4128,,WR,27.0,204,Chad Williams,chad,['WR'],,#chadwilliams-NFL-FA-0,12343.0,Madison Prep (LA),73
888,,,nfl,,00-0028767,,036fd3fc-e7a0-4f75-9019-8a5badff5e5f,False,,13070.0,Moore,25401.0,,,,Sterling,9.0,1990-02-03,moore,,Southern Methodist,Inactive,,sterlingmoore,1537651502700.0,,,,14802.0,7937.0,[],512674.0,,,,,30.0,9999999.0,888,,CB,30.0,202,Sterling Moore,sterling,['DB'],,#sterlingmoore-NFL-FA-30,7118.0,Deer Valley (CA),"5'10"""
3059,,,nfl,,,,,False,,17790.0,Campbell,,,,,Dan,0.0,,campbell,{'override_active': 'false'},,Inactive,,dancampbell,,,,,,,[],,,,,,0.0,9999999.0,3059,,,,,Dan Campbell,dan,,,#dancampbell-NFL-FA-0,2700.0,,
6516,,,nfl,, 00-0035065,,f1ea77e8-6e8c-454c-b508-f06e5676a0bc,True,,21433.0,Blackmar,32249.0,,,,Blake,3.0,1995-08-03,blackmar,{'channel_id': '1116853262524350464'},Baylor,Inactive,,blakeblackmar,1569029732704.0,,,,3128346.0,14149.0,[],,,,,,63.0,9999999.0,6516,,G,26.0,326,Blake Blackmar,blake,['OL'],,#blakeblackmar-NFL-FA-63,,Clear Lake,77
5677,,,nfl,,00-0034513,,3a7f48c5-6cda-4793-89a0-2bda1bc55e14,True,,20251.0,Porter,31596.0,,,,Mo,4.0,1995-03-29,porter,{'channel_id': '1116853142630170624'},Baylor,Active,,moporter,,,,,3928934.0,13231.0,[],,,,,,77.0,9999999.0,5677,,OT,26.0,310,Mo Porter,mo,['OL'],,#moporter-NFL-FA-77,,Marshall,78
3128,,,nfl,,,,,False,,17882.0,Schwartz,,,,,Jim,0.0,,schwartz,,,Inactive,,jimschwartz,,,,,,,[],,,,,,0.0,9999999.0,3128,,,,,Jim Schwartz,jim,,,#jimschwartz-NFL-FA-0,8345.0,,
11054,,,nfl,MIN,,,f7d67c1a-4edf-4604-aae8-584dde994a5f,True,F58297B6C250,,Bell,,,,,Travis,2.0,1998-10-27,bell,"{'channel_id': '1113708809139810304', 'rookie_year': '2023'}",Kennesaw State,Active,1058132.0,travisbell,1698794747460.0,,,,,17411.0,[],,,,DL,,95.0,9999999.0,11054,,DL,26.0,310,Travis Bell,travis,['DL'],,#travisbell-NFL-MIN-95,,Jefferson Davis (AL),72
6626,,,nfl,, 00-0035524,,b598ce5a-5949-4d28-90ce-9c1063f93730,True,,21534.0,Zico,32429.0,,,,Isaac,3.0,1996-06-18,zico,{'channel_id': '1116853282489237504'},Purdue,Active,,isaaczico,1564789517539.0,,,,4260392.0,14199.0,[],1066825.0,,,,,80.0,9999999.0,6626,,WR,25.0,200,Isaac Zico,isaac,['WR'],,#isaaczico-NFL-FA-80,,Alexander,73
6757,,,nfl,,,,522020a4-3d52-475b-8735-6676ee95c411,True,,21701.0,Fisher,32659.0,,,,James,2.0,1994-01-19,fisher,{'channel_id': '1116853303532060672'},North Dakota State,Active,,jamesfisher,,,,,,,[],,,,,,0.0,9999999.0,6757,,LS,27.0,225,James Fisher,james,['LS'],,#jamesfisher-NFL-FA-0,,Jefferson (MN),74
6780,,,nfl,,,,,True,,21973.0,Houston,,,,,Joe,0.0,,houston,{'channel_id': '1116853307109801984'},,Inactive,,joehouston,,,,,,,[],,,,,,,9999999.0,6780,,,,,Joe Houston,joe,,,#joehouston-NFL-FA,14879.0,,
2550,,,nfl,,00-0032157,,4f260130-570b-4a37-9f17-193b6c9cc025,False,,17010.0,Nixon,28639.0,,,,Taurean,7.0,1991-02-07,nixon,,Tulane,Inactive,,taureannixon,1535837136116.0,,,,2515587.0,10505.0,[],,,,,,31.0,9999999.0,2550,,CB,30.0,187,Taurean Nixon,taurean,['DB'],,#taureannixon-NFL-FA-31,,Southern Lab (LA),70
5995,,,nfl,BAL, 00-0034975,2.0,528e71ec-8fb3-4928-ace5-fc5ffbf26eb3,True,EFEA19FE377C,20802.0,Hill,31945.0,,,,Justice,6.0,1997-11-14,hill,"{'channel_id': '1113708867994284032', 'rookie_year': '2019'}",Oklahoma State,Active,923109.0,justicehill,1737489614012.0,,,,4038441.0,13427.0,[],923109.0,,,RB,,43.0,240.0,5995,,RB,27.0,195,Justice Hill,justice,['RB'],,#justicehill-NFL-BAL-43,13944.0,Booker T. Washington (OK),70
3524,,,nfl,,,,4e39c621-ff25-4c15-999c-f6d41ade5db9,False,,18290.0,Williams,30013.0,,,,Marquise,0.0,1992-10-05,williams,,North Carolina,Inactive,,marquisewilliams,,,,,2577118.0,11283.0,[],592506.0,,,,,9.0,9999999.0,3524,,QB,25.0,220,Marquise Williams,marquise,['QB'],,#marquisewilliams-NFL-FA-9,,,"6'1"""
1375,,,nfl,,,,b04538ac-99b2-42de-a48f-8e7b07b57f85,False,,14897.0,Anthony,,,,,Marc,2.0,1989-11-14,anthony,,California,Inactive,,marcanthony,,,,,15931.0,,[],,,,,,35.0,9999999.0,1375,,CB,27.0,196,Marc Anthony,marc,['DB'],,#marcanthony-NFL-FA-35,,,"5'11"""
7753,,,nfl,,,,0405bc2d-8e9c-4537-9238-111c4ccd88ae,True,71FB5C9A5326,,Harvin,,,,,Pressley,3.0,1998-09-17,harvin,"{'channel_id': '1113708726604296193', 'rookie_year': '2021'}",Georgia Tech,Active,976279.0,pressleyharvin,1697682040663.0,,,,,15614.0,[],,,,,,5.0,9999999.0,7753,,P,25.0,255,Pressley Harvin,pressley,['P'],,#pressleyharvin-NFL-FA-5,,Sumter (SC),72
3941,,,nfl,,,,5484dc71-1d33-466c-a107-d506502d60d3,True,,18774.0,Harris,30071.0,,,,Tylor,6.0,1994-02-16,harris,{'channel_id': '1116852916951449600'},Wake Forest,Active,,tylorharris,,,,,2970130.0,11661.0,[],,,,,,64.0,9999999.0,3941,,DT,27.0,305,Tylor Harris,tylor,['DL'],,#tylorharris-NFL-FA-64,,Episcopal (LA),76
4115,,,nfl,,00-0033909,,f9d87dfe-4a57-482a-a77f-37906daa4382,True,4CA5AC022472,18961.0,Elflein,30183.0,,,,Pat,7.0,1994-07-06,elflein,"{'channel_id': '1116852926917115904', 'rookie_year': '2017'}",Ohio State,Inactive,653704.0,patelflein,1723239953582.0,,,,2976295.0,11791.0,[],,,,,,69.0,9999999.0,4115,,G,30.0,303,Pat Elflein,pat,['OL'],,#patelflein-NFL-FA-69,,Pickerington North (OH),74
11764,,,nfl,CIN,,1.0,9ed5ed68-dd6c-4ac4-8fb7-9f0be37c51b7,True,E856978D713A,,Newton,,,,,Josh,1.0,2000-09-14,newton,"{'channel_id': '1113708807248179200', 'rookie_year': '2024'}",TCU,Active,1127045.0,joshnewton,1736469940551.0,,,,,17744.0,[],,,,RCB,,28.0,9999999.0,11764,,CB,24.0,190,Josh Newton,josh,['DB'],,#joshnewton-NFL-CIN-28,,Ouachita Parish (LA),71
1784,,,nfl,,,,f82362b7-55dc-4ea6-b682-911767af8c7d,False,,15907.0,Weaver,,,,,Ross,1.0,1987-01-09,weaver,,Michigan State,Inactive,,rossweaver,,,,,13666.0,,[],,,,,,41.0,9999999.0,1784,,CB,30.0,210,Ross Weaver,ross,['DB'],,#rossweaver-NFL-FA-41,,,"6'1"""
5895,,,nfl,ATL, 00-0035630,,e02c98ff-b5d8-4647-a4ed-bba595ae9e5a,True,A549C16F50D2,20857.0,Lindstrom,31846.0,,,,Chris,6.0,1997-02-28,lindstrom,"{'channel_id': '1113708864039055360', 'rookie_year': '2019'}",Boston College,Active,865908.0,chrislindstrom,1730652048196.0,,,,3672833.0,13808.0,[],,,,OL,,63.0,9999999.0,5895,,G,27.0,310,Chris Lindstrom,chris,"['OG', 'OL']",,#chrislindstrom-NFL-ATL-63,14088.0,Shepherd Hill (MA),75
5477,,,nfl,,00-0034518,,4916c90c-11e8-44d8-be62-67806f9efcdf,True,,20458.0,Hunter,31264.0,,,,Reggie,4.0,1994-01-02,hunter,{'channel_id': '1116853109063155712'},North Carolina Central,Active,,reggiehunter,,,,,3056831.0,13039.0,[],,,,,,47.0,9999999.0,5477,,LB,28.0,225,Reggie Hunter,reggie,['LB'],,#reggiehunter-NFL-FA-47,,Southern Vance,72
4421,,,nfl,,00-0033387,,ad2a1d03-020b-487a-bd5f-7ca9fbc250fe,True,CB6768CD5C7C,19281.0,Hollister,30661.0,,,,Jacob,7.0,1993-11-18,hollister,"{'channel_id': '1116852964351279104', 'rookie_year': '2017'}",Wyoming,Active,696882.0,jacobhollister,1724783153128.0,,,,3125404.0,12271.0,[],696882.0,,,,,87.0,303.0,4421,,TE,30.0,239,Jacob Hollister,jacob,['TE'],,#jacobhollister-NFL-FA-87,12491.0,Mountain View (OR),76
5055,,,nfl,HOU,00-0034355,2.0,3d405d21-bfdd-4495-afe3-9e96d1972ee2,True,2FD41758046A,19893.0,Stewart,31023.0,,,,M.J.,7.0,1995-09-16,stewart,"{'channel_id': '1113708784234033152', 'rookie_year': '2018'}",North Carolina,Active,823096.0,mjstewart,1727020206056.0,,,,3116679.0,12836.0,[],,,,NB,,29.0,9999999.0,5055,,DB,29.0,205,M.J. Stewart,mj,['DB'],,#mjstewart-NFL-HOU-29,13166.0,Yorktown (VA),71
10886,,,nfl,TEN,,,02e6087b-daa6-45b4-ad5a-0bf4f3893011,True,66E6F52C6FCA,,Skoronski,,,,,Peter,2.0,2001-07-31,skoronski,"{'channel_id': '1113708829834506240', 'rookie_year': '2023'}",Northwestern,Active,1222704.0,peterskoronski,1704850543007.0,,,,,16725.0,[],,,,OL,,77.0,9999999.0,10886,,OL,23.0,313,Peter Skoronski,peter,['OL'],,#peterskoronski-NFL-TEN-77,,Maine South (IL),76
2926,,,nfl,,,,,False,,17395.0,Pettway,,,,,Earnest,,,pettway,,,Inactive,,earnestpettway,,,,,,,[],599153.0,,,,,0.0,9999999.0,2926,,TE,,,Earnest Pettway,earnest,['TE'],,#earnestpettway-NFL-FA-0,,,
2887,,,nfl,,00-0031514,,bc73b5ee-bfeb-41c1-bcdd-64762af617af,False,,17355.0,Bray,28740.0,,,,Quan,5.0,1993-04-28,bray,,Auburn,Inactive,,quanbray,1535747127291.0,,,,2574545.0,10634.0,[],593289.0,,,,,11.0,9999999.0,2887,,WR,27.0,183,Quan Bray,quan,['WR'],,#quanbray-NFL-FA-11,,Troup County (GA),"5'10"""
2681,,,nfl,,,,69a521b9-7197-4bbe-b6be-50338f13f554,False,,17149.0,Redden,28736.0,,,,Terry,0.0,1993-08-23,redden,,Memphis,Inactive,,terryredden,,,,,2575611.0,,[],,,,,,62.0,9999999.0,2681,,DT,24.0,270,Terry Redden,terry,['DL'],,#terryredden-NFL-FA-62,,,"6'2"""
2891,,,nfl,,,,b01ad0be-047d-48e2-afe9-026124e704bd,False,,17359.0,Greenberry,,,,,Deontay,0.0,1994-03-07,greenberry,,Houston,Inactive,,deontaygreenberry,,,,,2981502.0,,[],652243.0,,,,,86.0,9999999.0,2891,,DE,23.0,200,Deontay Greenberry,deontay,['DL'],,#deontaygreenberry-NFL-FA-86,,,"6'3"""
11373,,,nfl,,,,92ecdf10-f015-11ed-b2d4-6bfa17e49c3a,True,7C7887D26081,,Scaife,,,,,DJ,1.0,2000-02-17,scaife,"{'channel_id': '1116852682695376896', 'rookie_year': '2023'}",Miami (FL),Active,1107004.0,djscaife,1691359208944.0,,,,,17558.0,[],,,,,,60.0,9999999.0,11373,,OL,24.0,321,DJ Scaife,dj,['OL'],,#djscaife-NFL-FA-60,,Miami Southridge (FL),75
939,,,nfl,,00-0028110,,6499ef2a-c7a9-4f14-abeb-8cc165333249,False,,13261.0,Fusco,24959.0,,,,Brandon,11.0,1988-07-26,fusco,,Slippery Rock,Inactive,,brandonfusco,1556573756637.0,,,,14208.0,7444.0,[],,,,,,65.0,9999999.0,939,,G,33.0,306,Brandon Fusco,brandon,['OL'],,#brandonfusco-NFL-FA-65,6679.0,Seneca Valley (PA),76
1732,,,nfl,,,,8bcbf9cb-f0d9-427c-8db2-532655cfe8ca,False,,15679.0,Jefferson,27329.0,,,,Willie,2.0,1991-01-31,jefferson,,Stephen F Austin,Inactive,,williejefferson,,,,,16556.0,9020.0,[],,,,,,46.0,9999999.0,1732,,OLB,27.0,233,Willie Jefferson,willie,['LB'],,#williejefferson-NFL-FA-46,,,"6'5"""
12517,,,nfl,,,,,True,,,Loveland,,,,,Colston,0.0,,loveland,{'source_id': '1b06fda0-8a81-11ec-9b75-81689e0737c4'},Michigan,Active,,colstonloveland,,,,,,,[],,,,,,,,12517,,TE,,245,Colston Loveland,colston,['TE'],,#colstonloveland-NFL-FA,,,77
6081,,,nfl,, 00-0035603,,b5e95ece-3b71-439b-b7b4-ae102f9e7c08,True,,21032.0,Blanton,32125.0,,,,Kendall,4.0,1995-11-10,blanton,{'channel_id': '1116853200306044928'},Missouri,Active,835674.0,kendallblanton,1693357805252.0,,,,3122103.0,13711.0,[],835674.0,,,,,80.0,342.0,6081,,TE,27.0,262,Kendall Blanton,kendall,['TE'],,#kendallblanton-NFL-FA-80,,Blue Springs South (MO),78
1637,,,nfl,,00-0029879,,b0a3df00-b1ed-4ba5-8c2a-1414b6871e61,False,,15372.0,McDermott,27214.0,,,,Kevin,9.0,1990-01-12,mcdermott,,UCLA,Inactive,,kevinmcdermott,1572883808247.0,,,,16361.0,9145.0,[],464150.0,,,,,47.0,9999999.0,1637,,LS,32.0,240,Kevin McDermott,kevin,['LS'],,#kevinmcdermott-NFL-FA-47,,Ensworth (TN),77
2762,,,nfl,,,,a3236057-ac62-4aad-8fc9-ac88a0707668,False,,17230.0,Watkins,29185.0,,,,Diaheem,0.0,1993-04-24,watkins,,UAB,Inactive,,diaheemwatkins,,,,,2580894.0,,[],,,,,,45.0,9999999.0,2762,,ILB,24.0,253,Diaheem Watkins,diaheem,['LB'],,#diaheemwatkins-NFL-FA-45,,,"6'4"""
13,,,nfl,,00-0024417,,544e4159-3da3-47ad-866c-bf48d7634f25,True,,430.0,Koch,7952.0,,,,Sam,16.0,1982-08-13,koch,{'channel_id': '1116852729457672192'},Nebraska,Active,214953.0,samkoch,1652988607209.0,,,,9789.0,7073.0,[],,,,,,4.0,9999999.0,13,,P,39.0,222,Sam Koch,sam,['P'],,#samkoch-NFL-FA-4,,Seward (NE),73
4053,,,nfl,DEN,00-0033538,,09fab9a8-b0af-4580-bf55-5c9167912f89,True,5E513CAD71A8,18899.0,Bolles,30133.0,,,,Garett,8.0,1992-05-27,bolles,"{'channel_id': '1113708823115231232', 'rookie_year': '2017'}",Utah,Active,913140.0,garettbolles,1734028837876.0,,,,4035662.0,11779.0,[],,,,OL,,72.0,9999999.0,4053,,OT,32.0,300,Garett Bolles,garett,"['OL', 'OT']",,#garettbolles-NFL-DEN-72,12224.0,Westlake (CA),77
4634,,,nfl,,,,9debd841-239c-4f51-8ed7-d29b10add403,False,,19528.0,Walker,30407.0,,,,Kenneth,5.0,1994-04-01,walker,{'override_active': 'false'},UCLA,Active,,kennethwalker,1651276828332.0,,,,2971595.0,,[],691052.0,,,,,86.0,9999999.0,4634,,WR,27.0,190,Kenneth Walker,kenneth,['WR'],,#kennethwalker-NFL-FA-86,,Kennedy (CA),70
4479,,,nfl,,,,04e6911c-7569-4d36-9d74-9c49616de1d5,True,,19347.0,Sperbeck,30480.0,,,,Thomas,5.0,1994-10-21,sperbeck,{'channel_id': '1116852973574553600'},Boise State,Active,,thomassperbeck,1527103801505.0,,,,3042890.0,12324.0,[],728840.0,,,,,0.0,1125.0,4479,,WR,27.0,180,Thomas Sperbeck,thomas,['WR'],,#thomassperbeck-NFL-FA-0,,Jesuit (CA),72
3081,,,nfl,,,,,False,,17831.0,Whaley,,,,,Doug,0.0,,whaley,,,Inactive,,dougwhaley,,,,,,,[],,,,,,0.0,9999999.0,3081,,,,,Doug Whaley,doug,,,#dougwhaley-NFL-FA-0,9496.0,,
2370,,,nfl,,,,fee7cbd7-9880-4a0c-aa6b-fe148483bc92,False,,16826.0,Smith,28453.0,,,,D'Joun,5.0,1992-09-23,smith,,Florida Atlantic,Inactive,,djounsmith,,,,,2982861.0,10414.0,[],,,,,,20.0,9999999.0,2370,,CB,27.0,193,D'Joun Smith,djoun,['DB'],,#djounsmith-NFL-FA-20,,American (FL),"5'11"""
3323,,,nfl,,00-0032786,,b6fa8c3c-c729-4178-8e9c-c7e784a872c1,True,,18084.0,Christian,29401.0,,,,Marqui,6.0,1994-10-27,christian,{'channel_id': '1116852849779671040'},Midwestern State (TX),Active,911319.0,marquichristian,1641782448860.0,,,,3960454.0,11223.0,[],,,,,,23.0,9999999.0,3323,,DB,27.0,195,Marqui Christian,marqui,['DB'],,#marquichristian-NFL-FA-23,,Spring (TX),71
1464,,,nfl,,00-0030584,,10bc7a15-0e66-4cdc-bec3-5a60b0b39159,True,,15046.0,Fisher,26624.0,,,,Eric,10.0,1991-01-05,fisher,{'channel_id': '1116852738869690368'},Central Michigan,Inactive,494864.0,ericfisher,1672964429171.0,,,,15790.0,8727.0,[],,,,,,79.0,9999999.0,1464,,OT,32.0,312,Eric Fisher,eric,"['OL', 'OT']",,#ericfisher-NFL-FA-79,8392.0,Stoney Creek (MI),79
7709,,,nfl,,,,28558bf5-c09f-49ec-8cad-0154971728a0,True,4230734E5FF3,,Weaver,,,,,Rashad,4.0,1997-11-10,weaver,"{'channel_id': '1113708830694338560', 'rookie_year': '2021'}",Pittsburgh,Active,922557.0,rashadweaver,1734471623913.0,,,,,15277.0,[],,,,,,45.0,9999999.0,7709,,LB,27.0,259,Rashad Weaver,rashad,"['DL', 'LB']",,#rashadweaver-NFL-FA-45,,Cooper City (FL),76
133,,,nfl,,,,6fe9ef94-0759-47be-a5fc-e2807d0bd823,False,,3725.0,Jones,,,,,Greg,10.0,1981-05-09,jones,,Florida State,Inactive,,gregjones,,,,,,,[],,,,,,45.0,9999999.0,133,,RB,36.0,254,Greg Jones,greg,['RB'],,#gregjones-NFL-FA-45,,,"6'1"""
6974,,,nfl,,,,f1eaad31-8784-4db3-b52d-ea0fe22761dd,True,,22064.0,Davis,,,,,Javaris,2.0,1996-12-26,davis,{'channel_id': '1116853318866436096'},Auburn,Active,880537.0,javarisdavis,1601996105487.0,,,,,14721.0,[],,,,,,38.0,9999999.0,6974,,CB,25.0,180,Javaris Davis,javaris,['DB'],,#javarisdavis-NFL-FA-38,,Ed White (FL),70
1447,,,nfl,,,,1fcd8651-364a-4f64-86da-8cb6c1cdd34a,False,,15016.0,Joeckel,26625.0,,,,Luke,7.0,1991-11-06,joeckel,,Texas A&M,Inactive,,lukejoeckel,1514751901436.0,,,,15796.0,8726.0,[],,,,,,78.0,9999999.0,1447,,G,28.0,312,Luke Joeckel,luke,['OL'],,#lukejoeckel-NFL-FA-78,8391.0,Arlington (TX),"6'6"""
3318,,,nfl,,00-0032784,,cd571cfc-9b44-4b69-a801-431db9aaa85e,True,,18079.0,Hogan,29396.0,,,,Kevin,7.0,1992-10-20,hogan,{'channel_id': '1116852849163108352'},Stanford,Active,598962.0,kevinhogan,1673413221455.0,,,,2577128.0,11058.0,[],598962.0,,,,,5.0,259.0,3318,,QB,30.0,218,Kevin Hogan,kevin,['QB'],,#kevinhogan-NFL-FA-5,11300.0,Gonzaga College (DC),75
3346,,,nfl,,00-0033113,,ce64d3cf-516a-429a-b80f-18143eee2a49,False,,18107.0,Forrest,29424.0,,,,Josh,6.0,1992-02-24,forrest,,Kentucky,Inactive,,joshforrest,1533249933322.0,,,,2576678.0,11035.0,[],607152.0,,,,,0.0,9999999.0,3346,,DE,29.0,255,Josh Forrest,josh,"['DL', 'LB']",,#joshforrest-NFL-FA-0,,Tilghman (KY),75
3848,,,nfl,,,,14146b26-3224-4ff5-a746-e4f5b5c7b5e9,False,,18668.0,Townsend Jr,29974.0,,,,Greg,0.0,1992-12-11,townsendjr,,Southern Cal,Inactive,,gregtownsendjr,,,,,2577275.0,11523.0,[],,,,,,93.0,9999999.0,3848,,DE,25.0,275,Greg Townsend Jr,greg,['DL'],,#gregtownsendjr-NFL-FA-93,,,"6'3"""
